scope,holding_days,dte_bucket,event_type,post_warmup_only,trade_count,win_rate,avg_return,median_return,avg_net_pnl,total_net_pnl,max_loss,max_win,profit_factor,top_5_wins_to_total_pnl,expected_shortfall_5pct,top10_capture,flat_ratio
holding_dte_event_type,3,22-30,trend_vol_expansion,False,36,0.2222222222222222,-0.06249395273036387,-0.04792743943431245,-2336.9722222222176,-84130.99999999984,-7613.599999999997,1718.900000000002,0.055163297691338056,-0.05192735139247161,-7287.049999999994,0.0,0.9234042553191489
holding_dte_event_type,3,22-30,up_shock,False,13,1.0,0.8230052612141137,0.2555205047318614,18660.35384615385,242584.60000000003,2113.100000000003,96999.4,inf,0.8221028869928263,2113.100000000003,0.10638297872340426,0.9723404255319149
holding_dte_event_type,3,31-45,down_shock,False,9,1.0,0.14683967828914765,0.1401485189171435,4802.133333333337,43219.20000000003,1485.6000000000051,10192.300000000008,inf,0.7329543351103213,1485.6000000000051,0.0425531914893617,0.9808510638297873
holding_dte_event_type,3,31-45,gap_event,False,3,0.3333333333333333,-0.019753194505897433,-0.0766895376135036,-1228.466666666666,-3685.399999999998,-8671.6,8027.499999999998,0.6853554627803534,1.0,-8671.6,0.0,0.9936170212765958
holding_dte_event_type,3,31-45,noise_theta_decay,False,51,0.21568627450980393,-0.07613256782931938,-0.0721699358832165,-4567.819607843133,-232958.79999999976,-90149.69999999998,2501.7000000000053,0.04859127808224175,-0.03716236519075484,-40047.99999999999,0.0,0.8914893617021277
holding_dte_event_type,3,31-45,trend_vol_expansion,False,12,0.6666666666666666,0.006260028249688541,0.0157456630157939,306.96666666667153,3683.6000000000586,-5245.2,4543.700000000013,1.3830619163495,3.27755456618521,-5245.2,0.0,0.9744680851063829
holding_dte_event_type,3,31-45,up_shock,False,2,1.0,0.17359029095677853,0.17359029095677853,6502.150000000003,13004.300000000007,6257.0000000000055,6747.300000000001,inf,1.0,6257.0000000000055,0.0,0.9957446808510638
holding_dte_event_type,3,7-10,down_shock,False,2,1.0,0.3099703616212934,0.3099703616212934,8577.75,17155.5,1298.599999999999,15856.9,inf,1.0,1298.599999999999,0.02127659574468085,0.9957446808510638
holding_dte_event_type,3,7-10,gap_event,False,3,1.0,0.23787228969989702,0.1696618349007679,8586.266666666665,25758.799999999996,190.2000000000044,13970.500000000004,inf,1.0,190.2000000000044,0.02127659574468085,0.9936170212765958
holding_dte_event_type,3,7-10,noise_theta_decay,False,19,0.15789473684210525,-0.2135935961624188,-0.275673446240301,-4417.947368421051,-83940.99999999997,-11314.499999999996,4906.999999999999,0.09165084054301195,-0.05277873744653993,-11314.499999999996,0.0,0.9595744680851064
holding_dte_event_type,3,7-10,trend_vol_expansion,False,2,0.5,-0.06700944258300334,-0.06700944258300334,-927.199999999999,-1854.399999999998,-2704.000000000002,849.6000000000038,0.31420118343195386,1.0,-2704.000000000002,0.0,0.9957446808510638
holding_dte_event_type,3,7-10,up_shock,False,1,1.0,0.2196622870683986,0.2196622870683986,5311.499999999998,5311.499999999998,5311.499999999998,5311.499999999998,inf,1.0,5311.499999999998,0.0,0.997872340425532
holding_dte,5,10-14,all,False,44,0.20454545454545456,-0.09742417937113865,-0.2663049900150358,-2067.177272727271,-90955.79999999993,-20319.6,50735.6,0.6515546681418303,-1.6768188504746273,-15421.299999999996,0.10638297872340426,0.9063829787234042
holding_dte,5,15-21,all,False,130,0.3230769230769231,0.009461185947383849,-0.13838531585545955,-602.6053846153812,-78338.69999999956,-97513.49999999996,53569.40000000001,0.8661225233366642,-2.7000792711648423,-24152.4857142857,0.3617021276595745,0.7234042553191489
holding_dte,5,22-30,all,False,192,0.3489583333333333,0.08102066224901143,-0.08732853080819569,989.5322916666706,189990.20000000077,-18783.4,139300.69999999998,1.2778996373661486,2.357310534964425,-13438.909999999998,0.2978723404255319,0.5914893617021277
holding_dte,5,31-45,all,False,77,0.4025974025974026,-0.013415657591756272,-0.059719356538671,-1725.1649350649313,-132837.69999999972,-74627.69999999998,43996.19999999999,0.5843662821477166,-0.7563139078740463,-30388.09999999999,0.1276595744680851,0.8361702127659575
holding_dte,5,7-10,all,False,27,0.37037037037037035,-0.03319959865570259,-0.340308818601294,160.73333333333534,4339.800000000054,-17963.999999999996,63935.3,1.0290176795351076,32.04228305451825,-15355.649999999998,0.10638297872340426,0.9425531914893617
holding_dte_event_type,5,10-14,down_shock,False,2,1.0,1.4179737789473208,1.4179737789473208,41172.450000000004,82344.90000000001,31609.30000000001,50735.6,inf,1.0,31609.30000000001,0.0425531914893617,0.9957446808510638
holding_dte_event_type,5,10-14,gap_event,False,3,0.0,-0.44149951843168433,-0.4299713553444896,-13411.433333333332,-40234.299999999996,-20319.6,-9077.099999999997,0.0,1.0,-20319.6,0.0,0.9936170212765958
holding_dte_event_type,5,10-14,noise_theta_decay,False,28,0.07142857142857142,-0.27637125747686325,-0.29455340657723883,-6311.235714285713,-176714.59999999995,-13284.3,1404.7000000000023,0.012471339167113283,0.010870069592438842,-12820.699999999997,0.0,0.9404255319148936
holding_dte_event_type,5,10-14,trend_vol_expansion,False,6,0.0,-0.21578218251797066,-0.23707728747930024,-6975.43333333333,-41852.59999999998,-12659.99999999999,-3040.8999999999965,0.0,0.697509832125125,-12659.99999999999,0.0,0.9872340425531915
holding_dte_event_type,5,10-14,up_shock,False,5,1.0,0.6469950819060613,0.4315262629161884,17100.159999999996,85500.79999999999,7216.500000000002,37202.69999999999,inf,1.0,7216.500000000002,0.06382978723404255,0.9893617021276596
holding_dte_event_type,5,15-21,down_shock,False,18,1.0,0.7151392784348979,0.385915173069618,18239.538888888896,328311.7000000001,3279.400000000004,53569.40000000001,inf,0.6401087746796716,3279.400000000004,0.2127659574468085,0.9617021276595745
holding_dte_event_type,5,15-21,gap_event,False,7,0.2857142857142857,-0.19915837005376139,-0.1544952800821146,-16970.542857142846,-118793.79999999993,-97513.49999999996,3490.4999999999973,0.05012453773113447,0.09226828336158949,-97513.49999999996,0.0,0.9851063829787234
holding_dte_event_type,5,15-21,noise_theta_decay,False,46,0.043478260869565216,-0.22152640052271536,-0.2508717341030521,-5754.960869565214,-264728.19999999984,-14512.7,2110.600000000005,0.009443150825120455,-0.004455890985546739,-11798.366666666661,0.0,0.902127659574468
holding_dte_event_type,5,15-21,trend_vol_expansion,False,46,0.15217391304347827,-0.1341119831964209,-0.14214156455316626,-4125.63260869565,-189779.0999999999,-13989.599999999997,1632.8000000000031,0.015861516777312467,-0.014904170164154103,-12052.933333333329,0.0,0.902127659574468
holding_dte_event_type,5,15-21,up_shock,False,13,1.0,0.47007087713756407,0.358692505984792,12819.284615384619,166650.70000000004,2600.0999999999976,31724.4,inf,0.6471908008787242,2600.0999999999976,0.14893617021276595,0.9723404255319149
holding_dte_event_type,5,22-30,down_shock,False,27,1.0,0.31115997636271264,0.1661559459340466,9634.500000000004,260131.50000000012,972.7000000000032,53175.8,inf,0.5522283921785711,1066.1000000000058,0.14893617021276595,0.9425531914893617
holding_dte_event_type,5,22-30,gap_event,False,7,0.2857142857142857,0.1311981203726526,-0.1058809953226756,2245.6142857142895,15719.300000000027,-10608.999999999998,49321.9,1.4402203440144743,2.318754651924702,-10608.999999999998,0.02127659574468085,0.9851063829787234
holding_dte_event_type,5,22-30,noise_theta_decay,False,88,0.07954545454545454,-0.1557264062457942,-0.1575374016974439,-5314.895454545451,-467710.7999999997,-18783.4,5868.600000000004,0.030692575612315885,-0.030741004911582173,-15762.779999999995,0.0,0.8127659574468085
holding_dte_event_type,5,22-30,trend_vol_expansion,False,46,0.15217391304347827,-0.09569114591311993,-0.0979750056571107,-3425.028260869562,-157551.29999999984,-11250.599999999991,2243.500000000006,0.04766242495605591,-0.04740106873126429,-9933.199999999995,0.0,0.902127659574468
holding_dte_event_type,5,22-30,up_shock,False,24,1.0,1.0142490587100745,0.23932167890203448,22475.062500000004,539401.5000000001,3089.6000000000045,139300.69999999998,inf,0.7740045216781932,3218.050000000001,0.1276595744680851,0.948936170212766
holding_dte_event_type,5,31-45,down_shock,False,18,1.0,0.23995807771796177,0.13905082847868921,8361.338888888893,150504.10000000006,889.8000000000025,43996.19999999999,inf,0.661631144932264,889.8000000000025,0.10638297872340426,0.9617021276595745
holding_dte_event_type,5,31-45,gap_event,False,3,0.3333333333333333,-0.03949663738117954,-0.1619953955513865,-2117.333333333334,-6352.000000000002,-11218.8,11291.099999999997,0.6399725671792371,1.0,-11218.8,0.0,0.9936170212765958
holding_dte_event_type,5,31-45,noise_theta_decay,False,30,0.13333333333333333,-0.1284935539136635,-0.1351096660310353,-5254.87333333333,-157646.1999999999,-17850.099999999988,1429.200000000003,0.011507917846270617,-0.006741044186285539,-16715.24999999999,0.0,0.9361702127659575
holding_dte_event_type,5,31-45,trend_vol_expansion,False,22,0.18181818181818182,-0.09565970794040547,-0.0819765615369937,-6335.19545454545,-139374.2999999999,-74627.69999999998,1128.0000000000086,0.021785087122100283,-0.019608349602473565,-42400.89999999999,0.0,0.9531914893617022
holding_dte_event_type,5,31-45,up_shock,False,4,1.0,0.18138976768845474,0.1054876980546247,5007.675000000001,20030.700000000004,1898.9000000000035,9350.0,inf,1.0000000000000002,1898.9000000000035,0.02127659574468085,0.9914893617021276
holding_dte_event_type,5,7-10,down_shock,False,4,1.0,1.093418053694856,0.9077414789958882,26882.250000000004,107529.00000000001,5066.9000000000015,63935.3,inf,1.0000000000000002,5066.9000000000015,0.06382978723404255,0.9914893617021276
holding_dte_event_type,5,7-10,gap_event,False,3,0.6666666666666666,0.32331725721160776,0.0547941491452818,7219.799999999998,21659.399999999994,-6590.500000000009,26228.9,4.286457780138073,1.0,-6590.500000000009,0.02127659574468085,0.9936170212765958
holding_dte_event_type,5,7-10,noise_theta_decay,False,14,0.0,-0.45274830443528474,-0.47478886171777646,-8603.614285714286,-120450.59999999999,-12747.3,-5440.999999999996,0.0,0.2721339702749509,-12747.3,0.0,0.9702127659574468
holding_dte_event_type,5,7-10,trend_vol_expansion,False,4,0.5,-0.13727459006049328,-0.07441180977614795,-4928.274999999997,-19713.099999999988,-17963.999999999996,1546.8000000000047,0.1244848108012083,1.0000000000000002,-17963.999999999996,0.0,0.9914893617021276
holding_dte_event_type,5,7-10,up_shock,False,2,1.0,0.3237807361088711,0.3237807361088711,7657.550000000003,15315.100000000006,4949.000000000004,10366.100000000002,inf,1.0,4949.000000000004,0.02127659574468085,0.9957446808510638
holding_dte,1,10-14,all,True,18,0.3333333333333333,-0.02990196874140793,-0.04996647598806685,-522.8833333333308,-9411.899999999954,-7251.899999999989,13842.800000000005,0.6430099451537302,-1.797107916573709,-7251.899999999989,0.08333333333333333,0.9178082191780822
holding_dte,1,15-21,all,True,62,0.27419354838709675,-0.04157289833044959,-0.05659932997775355,-1129.746774193545,-70044.29999999978,-6586.099999999999,13659.1,0.37781317064851355,-0.4037958834623246,-5795.524999999996,0.16666666666666666,0.7168949771689498
holding_dte,1,22-30,all,True,91,0.27472527472527475,-0.02105175985436722,-0.0306894455403777,-712.2560439560398,-64815.29999999962,-7260.799999999989,20166.900000000005,0.5279327900015315,-0.7013714354481162,-5908.799999999992,0.4166666666666667,0.5844748858447488
holding_dte,1,31-45,all,True,37,0.2702702702702703,-0.03489416808108621,-0.0416656705792976,-3052.989189189183,-112960.59999999977,-87463.19999999998,13359.400000000016,0.22728273941042385,-0.25669304164460965,-48117.149999999994,0.16666666666666666,0.8310502283105023
