strategy,holding_days,event_type,dte_bucket,data_source,trade_count,premium_cost,win_rate,avg_return,median_return,max_loss,max_win,top_5_wins_contribution,event_type_capture
5% OTM strangle,1,gap_event,22-30,provider_chain,7,145.4665714285714,0.5714285714285714,0.3470511897946148,0.11295247898438847,-9301.599999999999,16377.000000000002,1.5412830374921285,0.1111111111111111
5% OTM strangle,1,gap_event,31-45,provider_chain,3,163.547,0.3333333333333333,-0.11496678342514144,-0.0874324032013843,-4652.599999999997,800.0000000000028,1.0,0.047619047619047616
5% OTM strangle,1,gap_event,7-10,provider_chain,2,107.13300000000001,0.5,0.35668585086511356,0.35668585086511356,-9423.1,5548.3,1.0,0.031746031746031744
5% OTM strangle,1,noise_theta_decay,10-14,provider_chain,35,44.80002857142856,0.14285714285714285,-0.10047791892637972,-0.1731452626975013,-8889.399999999998,3051.0,-0.17761206828787254,0.0421179302045728
5% OTM strangle,1,noise_theta_decay,15-21,provider_chain,85,58.20014117647059,0.3058823529411765,-0.07835848343974197,-0.09937409725565712,-3956.999999999999,2009.6,-0.1774770078564251,0.1022864019253911
5% OTM strangle,1,noise_theta_decay,22-30,provider_chain,148,97.64525675675675,0.23648648648648649,-0.06238688730888824,-0.06595969693306691,-6606.099999999998,5347.200000000001,-0.14088010900000925,0.17809867629362214
5% OTM strangle,1,noise_theta_decay,31-45,provider_chain,59,128.1289830508474,0.2033898305084746,-0.04266770218139618,-0.055762319507859155,-5957.399999999999,4688.500000000002,-0.39678653951298176,0.07099879663056559
5% OTM strangle,1,noise_theta_decay,7-10,provider_chain,20,32.62229999999999,0.15,-0.15424470680224284,-0.19197556754931586,-4569.899999999997,398.70000000000016,-0.060851717314905185,0.024067388688327317
5% OTM strangle,1,trend_vol_expansion,10-14,provider_chain,2,89.14349999999999,0.5,0.2187161561574664,0.2187161561574664,-3638.8999999999983,1411.8000000000002,1.0,0.007194244604316547
5% OTM strangle,1,trend_vol_expansion,15-21,provider_chain,27,67.7742222222222,0.3333333333333333,-0.0386092998811962,-0.08901672194582629,-2668.799999999999,2464.9,-1.3622705743043273,0.09712230215827339
5% OTM strangle,1,trend_vol_expansion,22-30,provider_chain,26,97.43861538461539,0.34615384615384615,-0.02692761832973372,-0.02772859283213013,-2765.5,1956.4000000000008,-0.9512895157653071,0.09352517985611511
5% OTM strangle,1,trend_vol_expansion,31-45,provider_chain,13,140.71546153846154,0.46153846153846156,-0.027839476785130417,-0.00714026838371998,-11131.799999999992,3114.5000000000036,-0.4641274538375903,0.046762589928057555
5% OTM strangle,1,trend_vol_expansion,7-10,provider_chain,3,28.943999999999992,0.3333333333333333,-0.08426840875032748,-0.0277889830128635,-1245.699999999999,168.90000000000018,1.0,0.01079136690647482
5% OTM strangle,1,up_shock,10-14,provider_chain,1,128.23799999999997,1.0,0.25695971552893865,0.25695971552893865,3295.2000000000025,3295.2000000000025,1.0,0.012195121951219513
5% OTM strangle,1,up_shock,15-21,provider_chain,2,50.24999999999999,1.0,0.5933200663349918,0.5933200663349918,303.1000000000006,2880.3999999999996,1.0,0.024390243902439025
5% OTM strangle,1,up_shock,22-30,provider_chain,3,89.847,1.0,1.1971203754554354,0.8881037291419015,4034.300000000001,10217.700000000003,1.0,0.036585365853658534
5% OTM strangle,1,up_shock,31-45,provider_chain,1,200.59799999999998,1.0,0.4870586945034348,0.4870586945034348,9770.300000000001,9770.300000000001,1.0,0.012195121951219513
5% OTM strangle,3,down_shock,10-14,provider_chain,3,56.61499999999999,1.0,2.0127799565654048,1.4967516785007005,1538.6000000000001,25060.699999999997,1.0,0.02040816326530612
5% OTM strangle,3,down_shock,15-21,provider_chain,21,60.23299999999999,1.0,2.3151312710729264,1.0944105305176663,514.8000000000003,60909.899999999994,0.65763392218286,0.14285714285714285
5% OTM strangle,3,down_shock,22-30,provider_chain,22,98.12454545454544,1.0,0.5871749002469243,0.39009102086819925,420.10000000000076,26650.5,0.5394788124889865,0.14965986394557823
5% OTM strangle,3,down_shock,31-45,provider_chain,9,108.56233333333333,1.0,0.3677439265886868,0.3631992015605862,436.00000000000136,7682.9,0.7526281975471222,0.061224489795918366
5% OTM strangle,3,down_shock,7-10,provider_chain,2,59.19449999999999,1.0,0.8826001262558262,0.8826001262558262,373.5000000000007,12403.900000000001,1.0,0.013605442176870748
5% OTM strangle,3,gap_event,10-14,provider_chain,3,66.93299999999999,0.0,-0.6098897117680125,-0.6133533515852688,-5165.499999999999,-2083.4999999999995,1.0,0.047619047619047616
5% OTM strangle,3,gap_event,15-21,provider_chain,6,125.625,0.3333333333333333,0.013412629492459015,-0.2475453800606475,-6857.899999999998,15934.600000000004,1.6971677781392318,0.09523809523809523
5% OTM strangle,3,gap_event,22-30,provider_chain,7,145.4665714285714,0.2857142857142857,1.3710030864606193,-0.2949975397736591,-11132.399999999996,93171.09999999998,1.1711050987854938,0.1111111111111111
5% OTM strangle,3,gap_event,31-45,provider_chain,3,163.547,0.3333333333333333,-0.0007467917531337279,-0.14482659167928472,-5508.299999999997,9715.200000000004,1.0,0.047619047619047616
5% OTM strangle,3,gap_event,7-10,provider_chain,2,107.13300000000001,0.5,0.12798748597328397,0.12798748597328397,-9323.6,3518.5,1.0,0.031746031746031744
5% OTM strangle,3,noise_theta_decay,10-14,provider_chain,29,40.17920689655171,0.0,-0.45174632478598314,-0.4525915396562162,-8116.399999999999,-114.89999999999974,0.034560154846635396,0.03489771359807461
5% OTM strangle,3,noise_theta_decay,15-21,provider_chain,65,62.73673846153846,0.046153846153846156,-0.312386584479879,-0.349673202614379,-7200.699999999999,1923.1000000000022,-0.016172027572316117,0.07821901323706378
5% OTM strangle,3,noise_theta_decay,22-30,provider_chain,114,94.22315789473683,0.10526315789473684,-0.21433024462813288,-0.21936502522550783,-9418.8,3113.900000000001,-0.04425986550771035,0.1371841155234657
5% OTM strangle,3,noise_theta_decay,31-45,provider_chain,51,136.58935294117646,0.11764705882352941,-0.1424366414092141,-0.14846638367794052,-18076.89999999999,2195.2,-0.03219226797425856,0.061371841155234655
5% OTM strangle,3,noise_theta_decay,7-10,provider_chain,19,32.82647368421052,0.05263157894736842,-0.4917072565150502,-0.5653440116490717,-6201.699999999995,287.4000000000006,0.05809035544382639,0.02286401925391095
5% OTM strangle,3,trend_vol_expansion,10-14,provider_chain,6,87.26749999999998,0.3333333333333333,-0.16495636911871545,-0.2718835793023675,-10680.399999999998,2101.200000000003,0.23999146089802856,0.02158273381294964
5% OTM strangle,3,trend_vol_expansion,15-21,provider_chain,28,68.04567857142855,0.2857142857142857,-0.1765785268026901,-0.197642397427832,-4611.199999999999,1162.8,-0.12565693554402754,0.10071942446043165
