signal_date,entry_date,exit_date,holding_days,underlying_code,call_code,put_code,spot_at_signal,strike,dte,entry_call_price,entry_put_price,exit_call_price,exit_put_price,entry_premium,exit_premium,gross_pnl,cost,net_pnl,return_on_premium,atm_iv,rv20,iv_rank,iv_percentile,iv_minus_rv20,entry_mode_used,signal_call_close,signal_put_close,signal_call_volume,signal_put_volume,signal_call_open_interest,signal_put_open_interest,signal_straddle_close,signal_straddle_premium_to_spot,entry_call_open,entry_put_open,entry_straddle_open,exit_call_close,exit_put_close,exit_straddle_close,signal_call_bid,signal_call_ask,signal_put_bid,signal_put_ask,call_bid_ask_spread,put_bid_ask_spread
2025-08-01,2025-08-04,2025-08-04,1,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6670.472,6700.0,14,50.0,145.2,87.0,75.0,196.17599999999996,161.19,-3319.999999999999,178.59999999999718,-3498.5999999999963,-0.17833985808661595,0.1476208804343611,0.10081160521584175,0.02374387811925176,0.011904761904761904,0.04680927521851937,next_open,54.4,132.0,29295.0,13560.0,8564.0,3738.0,186.4,0.027944049536524553,50.0,145.2,195.2,87.0,75.0,162.0,,,,,,
2025-08-01,2025-08-04,2025-08-05,2,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6670.472,6700.0,14,50.0,145.2,103.8,51.2,196.17599999999996,154.225,-4019.999999999999,175.09999999999764,-4195.099999999997,-0.21384369137916961,0.1476208804343611,0.10081160521584175,0.02374387811925176,0.011904761904761904,0.04680927521851937,next_open,54.4,132.0,29295.0,13560.0,8564.0,3738.0,186.4,0.027944049536524553,50.0,145.2,195.2,103.8,51.2,155.0,,,,,,
2025-08-01,2025-08-04,2025-08-06,3,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6670.472,6700.0,14,50.0,145.2,162.0,25.4,196.17599999999996,186.463,-779.9999999999983,191.29999999999825,-971.2999999999965,-0.04951166299649278,0.1476208804343611,0.10081160521584175,0.02374387811925176,0.011904761904761904,0.04680927521851937,next_open,54.4,132.0,29295.0,13560.0,8564.0,3738.0,186.4,0.027944049536524553,50.0,145.2,195.2,162.0,25.4,187.4,,,,,,
2025-08-01,2025-08-04,2025-08-08,5,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6670.472,6700.0,14,50.0,145.2,140.0,26.6,196.17599999999996,165.767,-2859.9999999999995,180.8999999999969,-3040.8999999999965,-0.15500876763722357,0.1476208804343611,0.10081160521584175,0.02374387811925176,0.011904761904761904,0.04680927521851937,next_open,54.4,132.0,29295.0,13560.0,8564.0,3738.0,186.4,0.027944049536524553,50.0,145.2,195.2,140.0,26.6,166.6,,,,,,
2025-08-04,2025-08-05,2025-08-05,1,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6739.6936,6700.0,11,93.6,72.8,103.8,51.2,167.23199999999997,154.225,-1139.9999999999977,160.69999999999982,-1300.6999999999975,-0.07777817642556435,0.14077974238340393,0.1042958625455369,0.012640893798443839,0.007936507936507936,0.036483879837867036,next_open,87.0,75.0,26477.0,13570.0,8039.0,5103.0,162.0,0.024036701015607002,93.6,72.8,166.39999999999998,103.8,51.2,155.0,,,,,,
2025-08-04,2025-08-05,2025-08-06,2,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6739.6936,6700.0,11,93.6,72.8,162.0,25.4,167.23199999999997,186.463,2100.0000000000027,176.90000000000055,1923.1000000000022,0.11499593379257574,0.14077974238340393,0.1042958625455369,0.012640893798443839,0.007936507936507936,0.036483879837867036,next_open,87.0,75.0,26477.0,13570.0,8039.0,5103.0,162.0,0.024036701015607002,93.6,72.8,166.39999999999998,162.0,25.4,187.4,,,,,,
2025-08-04,2025-08-05,2025-08-07,3,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6739.6936,6700.0,11,93.6,72.8,154.0,28.8,167.23199999999997,181.88600000000002,1640.0000000000034,174.5999999999981,1465.4000000000053,0.08762676999617332,0.14077974238340393,0.1042958625455369,0.012640893798443839,0.007936507936507936,0.036483879837867036,next_open,87.0,75.0,26477.0,13570.0,8039.0,5103.0,162.0,0.024036701015607002,93.6,72.8,166.39999999999998,154.0,28.8,182.8,,,,,,
2025-08-04,2025-08-05,2025-08-11,5,000852.SH,MO2508-C-6700.CFE,MO2508-P-6700.CFE,6739.6936,6700.0,11,93.6,72.8,233.6,7.0,167.23199999999997,239.397,7420.000000000002,203.5,7216.500000000002,0.43152626291618845,0.14077974238340393,0.1042958625455369,0.012640893798443839,0.007936507936507936,0.036483879837867036,next_open,87.0,75.0,26477.0,13570.0,8039.0,5103.0,162.0,0.024036701015607002,93.6,72.8,166.39999999999998,233.6,7.0,240.6,,,,,,
2025-08-05,2025-08-06,2025-08-06,1,000852.SH,MO2508-C-6800.CFE,MO2508-P-6800.CFE,6787.4806,6800.0,10,51.8,105.0,94.0,58.2,157.584,151.439,-460.0000000000023,154.49999999999875,-614.500000000001,-0.038995075642197244,0.14461571694010678,0.0993177702239818,0.01886657803999056,0.015873015873015872,0.04529794671612497,next_open,55.0,101.2,19446.0,8397.0,8320.0,2917.0,156.2,0.023012957119906904,51.8,105.0,156.8,94.0,58.2,152.2,,,,,,
2025-08-05,2025-08-06,2025-08-07,2,000852.SH,MO2508-C-6800.CFE,MO2508-P-6800.CFE,6787.4806,6800.0,10,51.8,105.0,86.0,59.4,157.584,144.673,-1140.0000000000005,151.09999999999968,-1291.1000000000001,-0.08193090669103463,0.14461571694010678,0.0993177702239818,0.01886657803999056,0.015873015873015872,0.04529794671612497,next_open,55.0,101.2,19446.0,8397.0,8320.0,2917.0,156.2,0.023012957119906904,51.8,105.0,156.8,86.0,59.4,145.4,,,,,,
