signal_date,holding_days,event_type,classification_reason,future_index_return,future_abs_return,future_gap_return_next_open,future_rv_5d,signal_rv20,rv_expansion_ratio,call_leg_pnl,put_leg_pnl,straddle_return,iv_change
2024-07-16,1,noise_theta_decay,muted realized move or negative straddle return,-0.0084964218714903,0.0084964218714903,-0.0004708771137058,0.2070820154265246,0.2655831529573514,0.7797257210052733,-15.0,23.0,0.0214799020769171,
2024-07-16,3,noise_theta_decay,muted realized move or negative straddle return,-0.0031624127631659,0.0031624127631659,-0.0004708771137058,0.2070820154265246,0.2655831529573514,0.7797257210052733,-5.400000000000006,5.199999999999989,-0.0107360025270472,
2024-07-16,5,down_shock,negative future return with dominant put leg,-0.0293103481070966,0.0293103481070966,-0.0004708771137058,0.2070820154265246,0.2655831529573514,0.7797257210052733,-55.4,83.80000000000001,0.1016267867014139,
2024-07-17,1,noise_theta_decay,muted realized move or negative straddle return,0.0035037570504907,0.0035037570504907,-0.006739498904793,0.2142924291619684,0.2657124589063813,0.8064824285769386,31.39999999999999,-20.80000000000001,0.0300441390607938,
2024-07-17,3,noise_theta_decay,muted realized move or negative straddle return,0.0065158783520875,0.0065158783520875,-0.006739498904793,0.2142924291619684,0.2657124589063813,0.8064824285769386,21.599999999999994,-44.0,-0.0944666909355658,
2024-07-17,5,down_shock,negative future return with dominant put leg,-0.0343255671691998,0.0343255671691998,-0.006739498904793,0.2142924291619684,0.2657124589063813,0.8064824285769386,-41.400000000000006,88.19999999999999,0.166628746511346,
2024-07-18,1,noise_theta_decay,muted realized move or negative straddle return,0.0018694104468675,0.0018694104468675,-0.0049154830693198,0.2055448588356511,0.2633160164198233,0.7806014295307295,6.599999999999994,-35.80000000000001,-0.1128308634762132,
2024-07-18,3,noise_theta_decay,muted realized move or negative straddle return,-0.0244105140893273,0.0244105140893273,-0.0049154830693198,0.2055448588356511,0.2633160164198233,0.7806014295307295,-43.4,42.80000000000001,-0.0120642339901911,
2024-07-18,5,down_shock,negative future return with dominant put leg,-0.0373739957326723,0.0373739957326723,-0.0049154830693198,0.2055448588356511,0.2633160164198233,0.7806014295307295,-62.4,75.0,0.0344434411572034,
2024-07-19,1,noise_theta_decay,muted realized move or negative straddle return,0.0011300813761878,0.0011300813761878,0.0002523321591363,0.2576230668549264,0.2619857969015998,0.9833474558610825,-4.0,16.0,0.0421576328881907,
2024-07-19,3,down_shock,negative future return with dominant put leg,-0.0394928243897803,0.0394928243897803,0.0002523321591363,0.2576230668549264,0.2619857969015998,0.9833474558610825,-67.0,148.2,0.342646417037619,
2024-07-19,5,noise_theta_decay,default muted/noise bucket,-0.0247525901431542,0.0247525901431542,0.0002523321591363,0.2576230668549264,0.2619857969015998,0.9833474558610825,-58.0,64.0,0.0161036920659859,
2024-07-22,1,down_shock,negative future return with dominant put leg,-0.0273300843964908,0.0273300843964908,-0.0002333395547545,0.2527183886836694,0.2545520092091911,0.9927966762815265,-47.4,92.4,0.1793115983379622,
2024-07-22,3,down_shock,negative future return with dominant put leg,-0.040254771242813,0.040254771242813,-0.0002333395547545,0.2527183886836694,0.2545520092091911,0.9927966762815265,-66.4,124.6,0.2348284068189217,
2024-07-22,5,trend_vol_expansion,large future move without single-leg shock dominance,-0.0292582070709032,0.0292582070709032,-0.0002333395547545,0.2527183886836694,0.2545520092091911,0.9927966762815265,-65.8,65.4,-0.0116325762859448,
2024-07-23,1,noise_theta_decay,default muted/noise bucket,-0.0136191793207707,0.0136191793207707,-0.0027457146797545,0.1654690883760766,0.2697808666068261,0.6133462704648671,-22.799999999999997,33.60000000000002,0.0327857117291242,
2024-07-23,3,noise_theta_decay,muted realized move or negative straddle return,0.0015181197253859,0.0015181197253859,-0.0027457146797545,0.1654690883760766,0.2697808666068261,0.6133462704648671,-1.0,-35.999999999999986,-0.1563604837523016,
